"Date
▼",Visitor/Neutral,PTS,Home/Neutral,PTS
"Mon, Oct 31, 2022",Philadelphia 76ers,118,Washington Wizards,111
"Mon, Oct 31, 2022",Memphis Grizzlies,105,Utah Jazz,121
"Mon, Oct 31, 2022",Atlanta Hawks,109,Toronto Raptors,139
"Mon, Oct 31, 2022",Detroit Pistons,108,Milwaukee Bucks,110
"Mon, Oct 31, 2022",Houston Rockets,93,Los Angeles Clippers,95
"Mon, Oct 31, 2022",Sacramento Kings,115,Charlotte Hornets,108
"Mon, Oct 31, 2022",Indiana Pacers,109,Brooklyn Nets,116
"Sun, Oct 30, 2022",Minnesota Timberwolves,98,San Antonio Spurs,107
"Sun, Oct 30, 2022",Houston Rockets,109,Phoenix Suns,124
"Sun, Oct 30, 2022",Denver Nuggets,110,Los Angeles Lakers,121
"Sun, Oct 30, 2022",New Orleans Pelicans,112,Los Angeles Clippers,91
"Sun, Oct 30, 2022",Golden State Warriors,114,Detroit Pistons,128
"Sun, Oct 30, 2022",Orlando Magic,105,Dallas Mavericks,114
"Sun, Oct 30, 2022",New York Knicks,108,Cleveland Cavaliers,121
"Sun, Oct 30, 2022",Washington Wizards,94,Boston Celtics,112
"Sat, Oct 29, 2022",Memphis Grizzlies,123,Utah Jazz,124
"Sat, Oct 29, 2022",Miami Heat,113,Sacramento Kings,119
"Sat, Oct 29, 2022",Atlanta Hawks,115,Milwaukee Bucks,123
"Sat, Oct 29, 2022",Oklahoma City Thunder,117,Dallas Mavericks,111
"Sat, Oct 29, 2022",Golden State Warriors,113,Charlotte Hornets,120
"Sat, Oct 29, 2022",Philadelphia 76ers,114,Chicago Bulls,109
"Sat, Oct 29, 2022",Indiana Pacers,125,Brooklyn Nets,116
"Fri, Oct 28, 2022",Indiana Pacers,127,Washington Wizards,117
"Fri, Oct 28, 2022",Philadelphia 76ers,112,Toronto Raptors,90
"Fri, Oct 28, 2022",Chicago Bulls,124,San Antonio Spurs,129
"Fri, Oct 28, 2022",Houston Rockets,111,Portland Trail Blazers,125
"Fri, Oct 28, 2022",New Orleans Pelicans,111,Phoenix Suns,124
"Fri, Oct 28, 2022",Charlotte Hornets,93,Orlando Magic,113
"Fri, Oct 28, 2022",Los Angeles Lakers,102,Minnesota Timberwolves,111
"Fri, Oct 28, 2022",New York Knicks,108,Milwaukee Bucks,119
"Fri, Oct 28, 2022",Atlanta Hawks,136,Detroit Pistons,112
"Fri, Oct 28, 2022",Utah Jazz,101,Denver Nuggets,117
"Fri, Oct 28, 2022",Cleveland Cavaliers,132,Boston Celtics,123
"Thu, Oct 27, 2022",Memphis Grizzlies,125,Sacramento Kings,110
"Thu, Oct 27, 2022",Los Angeles Clippers,110,Oklahoma City Thunder,118
"Thu, Oct 27, 2022",Miami Heat,110,Golden State Warriors,123
"Thu, Oct 27, 2022",Dallas Mavericks,129,Brooklyn Nets,125
"Wed, Oct 26, 2022",Houston Rockets,101,Utah Jazz,109
"Wed, Oct 26, 2022",Philadelphia 76ers,109,Toronto Raptors,119
"Wed, Oct 26, 2022",Miami Heat,119,Portland Trail Blazers,98
"Wed, Oct 26, 2022",Charlotte Hornets,131,New York Knicks,134
"Wed, Oct 26, 2022",San Antonio Spurs,122,Minnesota Timberwolves,134
"Wed, Oct 26, 2022",Brooklyn Nets,99,Milwaukee Bucks,110
"Wed, Oct 26, 2022",Atlanta Hawks,118,Detroit Pistons,113
"Wed, Oct 26, 2022",Los Angeles Lakers,99,Denver Nuggets,110
"Wed, Oct 26, 2022",Orlando Magic,92,Cleveland Cavaliers,103
"Wed, Oct 26, 2022",Indiana Pacers,109,Chicago Bulls,124
"Tue, Oct 25, 2022",Detroit Pistons,99,Washington Wizards,120
"Tue, Oct 25, 2022",Golden State Warriors,105,Phoenix Suns,134
"Tue, Oct 25, 2022",Los Angeles Clippers,94,Oklahoma City Thunder,108
"Tue, Oct 25, 2022",Dallas Mavericks,111,New Orleans Pelicans,113
"Mon, Oct 24, 2022",Denver Nuggets,110,Portland Trail Blazers,135
"Mon, Oct 24, 2022",Indiana Pacers,106,Philadelphia 76ers,120
"Mon, Oct 24, 2022",Orlando Magic,102,New York Knicks,115
"Mon, Oct 24, 2022",San Antonio Spurs,115,Minnesota Timberwolves,106
"Mon, Oct 24, 2022",Toronto Raptors,98,Miami Heat,90
"Mon, Oct 24, 2022",Brooklyn Nets,124,Memphis Grizzlies,134
"Mon, Oct 24, 2022",Utah Jazz,108,Houston Rockets,114
"Mon, Oct 24, 2022",Boston Celtics,102,Chicago Bulls,120
"Sun, Oct 23, 2022",Minnesota Timberwolves,116,Oklahoma City Thunder,106
"Sun, Oct 23, 2022",Utah Jazz,122,New Orleans Pelicans,121
"Sun, Oct 23, 2022",Portland Trail Blazers,106,Los Angeles Lakers,104
"Sun, Oct 23, 2022",Phoenix Suns,112,Los Angeles Clippers,95
"Sun, Oct 23, 2022",Sacramento Kings,125,Golden State Warriors,130
"Sun, Oct 23, 2022",Washington Wizards,107,Cleveland Cavaliers,117
"Sun, Oct 23, 2022",Charlotte Hornets,126,Atlanta Hawks,109
"Sat, Oct 22, 2022",Los Angeles Clippers,111,Sacramento Kings,109
"Sat, Oct 22, 2022",San Antonio Spurs,114,Philadelphia 76ers,105
"Sat, Oct 22, 2022",Boston Celtics,126,Orlando Magic,120
