,Visitor,Visitor_PTS,Home,Home_PTS,VisitorWin,Visitor_W_PCT,Visitor_E_OFF_RATING,Visitor_E_DEF_RATING,Visitor_E_NET_RATING,Visitor_E_PACE,Visitor_E_AST_RATIO,Visitor_E_OREB_PCT,Visitor_E_DREB_PCT,Visitor_E_REB_PCT,Visitor_E_TM_TOV_PCT,Home_E_OFF_RATING,Home_E_DEF_RATING,Home_E_NET_RATING,Home_E_PACE,Home_E_AST_RATIO,Home_E_OREB_PCT,Home_E_DREB_PCT,Home_E_REB_PCT,Home_E_TM_TOV_PCT,Visitor_TS%,Visitor_3P%,Home_TS%,Home_3P%
0,Philadelphia 76ers,118,Washington Wizards,111,1.0,0.659,115.5,110.2,5.2,99.2,18.6,0.216,0.772,0.499,0.137,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,119.20%,37.90%,116.00%,36.50%
1,Philadelphia 76ers,111,Washington Wizards,116,0.0,0.659,115.5,110.2,5.2,99.2,18.6,0.216,0.772,0.499,0.137,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,119.20%,37.90%,116.00%,36.50%
2,Memphis Grizzlies,92,Washington Wizards,102,1.0,0.622,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,112.20%,34.60%,116.00%,36.50%
3,Atlanta Hawks,122,Washington Wizards,120,1.0,0.5,113.9,113.6,0.3,103.1,17.6,0.251,0.758,0.502,0.124,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,114.50%,35.30%,116.00%,36.50%
4,Atlanta Hawks,114,Washington Wizards,107,1.0,0.5,113.9,113.6,0.3,103.1,17.6,0.251,0.758,0.502,0.124,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,114.50%,35.30%,116.00%,36.50%
5,Detroit Pistons,99,Washington Wizards,120,1.0,0.207,107.8,116.1,-8.2,101.6,16.7,0.249,0.74,0.487,0.147,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,,,116.00%,36.50%
6,Detroit Pistons,97,Washington Wizards,117,1.0,0.207,107.8,116.1,-8.2,101.6,16.7,0.249,0.74,0.487,0.147,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,,,116.00%,36.50%
7,Houston Rockets,114,Washington Wizards,109,1.0,0.268,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,109.80%,33.00%,116.00%,36.50%
8,Sacramento Kings,132,Washington Wizards,118,1.0,0.585,117.0,114.1,2.9,102.5,19.3,0.227,0.772,0.502,0.131,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,119.30%,38.40%,116.00%,36.50%
9,Indiana Pacers,127,Washington Wizards,117,1.0,0.427,111.0,115.4,-4.4,103.8,18.9,0.234,0.722,0.478,0.142,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,115.30%,35.60%,116.00%,36.50%
10,Indiana Pacers,113,Washington Wizards,127,0.0,0.427,111.0,115.4,-4.4,103.8,18.9,0.234,0.722,0.478,0.142,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,115.30%,35.60%,116.00%,36.50%
11,Minnesota Timberwolves,127,Washington Wizards,142,0.0,0.512,111.3,111.1,0.2,103.4,18.6,0.215,0.743,0.484,0.147,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,117.10%,37.10%,116.00%,36.50%
12,Denver Nuggets,118,Washington Wizards,104,1.0,0.646,115.0,111.7,3.3,100.3,20.5,0.248,0.764,0.513,0.144,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,119.00%,37.90%,116.00%,36.50%
13,Orlando Magic,116,Washington Wizards,109,1.0,0.415,109.0,111.5,-2.4,101.7,17.0,0.238,0.777,0.507,0.148,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,113.50%,35.10%,116.00%,36.50%
